id,x,y,z,yaw,pitch,roll
1,1716.54,1013.76,-1.73699,-2.18973,-0.0513466,-0.00652928
2,1716.75,1014.07,-1.69965,-2.18822,-0.055108,-0.00792942
3,1716.98,1014.41,-1.66006,-2.18694,-0.0557574,-0.00672903
4,1716.33,1013.46,-1.70573,-2.19087,-0.0574971,-0.00678446
5,1716.1,1013.11,-1.78071,-2.19227,-0.0590848,-0.00349387
6,1715.93,1012.86,-1.80844,-2.19349,-0.0583748,-0.00614484
7,1715.74,1012.62,-1.75066,-2.1952,-0.0541705,-0.0086942
8,1715.45,1012.42,-1.14684,-2.19419,-0.0497611,-0.0333768
9,1715.25,1012.14,-1.15434,-2.1954,-0.0501811,-0.0319566
10,1715.05,1011.84,-1.18875,-2.19567,-0.0516491,-0.0288728
11,1714.86,1011.59,-1.22247,-2.19769,-0.0549976,-0.0265512
12,1714.66,1011.29,-1.21992,-2.19873,-0.0558485,-0.0254382
13,1714.41,1010.95,-1.21661,-2.19929,-0.0605677,-0.0232687
14,1714.21,1010.68,-1.21375,-2.20028,-0.0624051,-0.0227452
15,1714.01,1010.38,-1.23175,-2.20069,-0.0615888,-0.0225671
16,1713.79,1010.18,-0.946491,-2.20002,-0.0494709,-0.0411821
17,1713.6,1009.92,-0.934509,-2.20187,-0.050769,-0.0415356
18,1713.36,1009.61,-0.933404,-2.20174,-0.0541037,-0.0405828
19,1713.16,1009.35,-0.915443,-2.20293,-0.0541421,-0.0428807
20,1712.97,1009.1,-0.871315,-2.20345,-0.0501591,-0.0484342
21,1712.75,1008.83,-0.852099,-2.20426,-0.0506459,-0.0508453
22,1712.56,1008.53,-0.938986,-2.20511,-0.0523852,-0.0452485
23,1712.37,1008.26,-0.959252,-2.20665,-0.05383,-0.0436511
24,1712.14,1007.96,-0.998767,-2.20519,-0.0555635,-0.0417614
25,1711.94,1007.69,-1.00911,-2.20603,-0.0554079,-0.0415738
26,1711.7,1007.4,-1.00978,-2.20393,-0.052559,-0.0449258
27,1711.51,1007.15,-0.958962,-2.20521,-0.0523924,-0.0489896
28,1711.3,1006.85,-0.993321,-2.20414,-0.0533501,-0.0472797
29,1711.08,1006.58,-0.995059,-2.20396,-0.0539665,-0.0477363
30,1710.88,1006.31,-0.991416,-2.204,-0.0547927,-0.0480661
31,1710.7,1006.05,-0.974058,-2.20459,-0.0558235,-0.0487013
32,1710.51,1005.8,-0.960528,-2.20438,-0.0568101,-0.0496251
33,1710.31,1005.54,-0.94471,-2.20325,-0.0563407,-0.0516475
34,1710.13,1005.31,-0.921119,-2.20312,-0.0565493,-0.0530354
35,1709.91,1005.03,-0.910507,-2.20067,-0.0568939,-0.053964
36,1709.72,1004.78,-0.900979,-2.20079,-0.0575507,-0.0545144
37,1709.51,1004.53,-0.821625,-2.19974,-0.0589521,-0.0570992
38,1709.31,1004.25,-0.773334,-2.19823,-0.0610582,-0.057268
39,1709.13,1004.02,-0.736188,-2.19743,-0.0614798,-0.0583167
40,1708.95,1003.77,-0.710003,-2.19637,-0.0614831,-0.0594346
41,1708.76,1003.55,-0.624821,-2.19481,-0.0583115,-0.0618946
42,1708.5,1003.05,-0.359525,-2.19368,-0.0540695,-0.0345248
43,1708.35,1002.8,-0.252664,-2.19252,-0.0499345,-0.0306701
44,1708.17,1002.57,-0.210066,-2.19046,-0.0505039,-0.0339874
45,1707.96,1002.3,-0.201152,-2.18908,-0.0508981,-0.0346588
46,1707.89,1002.05,-0.219811,-2.18711,-0.0422426,-0.0115848
47,1707.71,1001.81,-0.177747,-2.1859,-0.0410561,-0.0144226
48,1707.51,1001.54,-0.15103,-2.18329,-0.0413256,-0.0173005
49,1707.34,1001.33,-0.109666,-2.18194,-0.0409328,-0.0202209
50,1707.16,1001.09,-0.0964896,-2.17962,-0.0420286,-0.0212112
51,1706.98,1000.84,-0.0871939,-2.17837,-0.043461,-0.0216641
52,1706.8,1000.61,-0.0875528,-2.17616,-0.046301,-0.0222404
53,1706.65,1000.41,-0.0371486,-2.17501,-0.0463448,-0.0250242
54,1706.5,1000.19,-0.0313101,-2.17307,-0.0481251,-0.0261712
55,1706.34,999.975,-0.0321131,-2.17145,-0.0494689,-0.0264151
56,1706.14,999.702,-0.032316,-2.1689,-0.0512625,-0.0263559
57,1706,999.498,-0.0268742,-2.1677,-0.0511904,-0.0265866
